Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22
FALSE,2.6 mi Easy,Treadmill Running,--,1/20/2014 8:13,0:35:00,2.6,--,13:20,--,--,--,--,13.46,#VALUE!,#VALUE!,#VALUE!,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.1mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,1/9/2014 6:26,0:29:47,3.08,15,9:40,6:23,155,175,246,9.67,"4,616.42",0.0533,83,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6mil Easy @ Dreadmill,Running,--,1/6/2014 19:18,1:10:13,6,0,11:46,1:42,133,161,495,11.7,"9,338.82",0.053,70,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.1mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,1/2/2014 6:33,0:31:14,3.09,15,10:06,5:51,148,161,247,10.11,"4,622.53",0.0534,79,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.1mi Easy Recovery,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,12/31/2013 7:27,0:29:52,3.08,13,9:42,6:58,153,172,244,9.7,"4,569.60",0.0534,82,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,17.5mi Long - Skytop Dr.,Street Running,17mi Spring Lake / Sky Top Dr. and back,12/29/2013 7:01,3:07:31,17.45,398,10:45,7:16,153,164,"1,417",10.75,"28,690.05",0.0494,76,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy,Street Running,--,12/26/2013 8:31,0:30:35,3.15,5,9:43,5:50,152,169,357,9.71,"4,648.67",0.0768,117,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,10k Easy,Street Running,6.1m 8th/Kenyon/SpringLake/Clinton,12/24/2013 7:28,0:59:07,6.17,37,9:35,7:03,155,175,712,9.58,"9,163.08",0.0777,120,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4.5mi Esasy,Street Running,4.5mi Sherman / Pemberton / Kenyon / Spring Lake / Palmer,12/22/2013 7:14,0:44:31,4.45,25,10:00,6:58,156,175,539,10,"6,944.60",0.0776,121,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy Recovery,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,12/19/2013 6:12,0:34:54,3.09,15,11:17,1:09,145,160,389,11.29,"5,060.50",0.0769,111,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,15mi Long @ Dreadmill,Treadmill Running,--,12/15/2013 10:35,2:42:18,15,--,10:55,3:54,155,172,"1,822",10.82,"25,156.50",0.0724,112,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,12/12/2013 6:01,0:31:52,3.1,16,10:16,4:39,152,171,375,10.28,"4,843.73",0.0774,118,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6.1 mi Easy,Street Running,6.1m 8th/Kenyon/SpringLake/Clinton,12/10/2013 6:00,1:01:51,6.08,28,10:11,7:20,149,162,695,10.17,"9,215.65",0.0754,112,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,Magic Mile,Street Running,3mi Magic Mile,12/8/2013 7:11,0:42:56,4.3,16,9:59,4:28,151,173,491,9.98,"6,482.93",0.0757,114,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5.8 mi Endurance/Speed,Street Running,6.1m 8th/Kenyon/SpringLake/Clinton,12/6/2013 6:05,0:59:35,5.82,41,10:14,6:17,154,177,683,10.24,"9,175.83",0.0744,115,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy Jog with the office team,Running,Piscataway Green Acres Path,12/4/2013 17:42,41:43:00,3.83,11,10:54,2:20,134,156,394,277.55,"142,442.00",0.0028,2,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.1mi Easy - Recovery,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,12/3/2013 6:44,0:30:24,3.1,15,9:49,7:03,155,174,365,9.81,"4,712.00",0.0775,120,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,13.2mi Long,Street Running,13.1mi WashingtonRock/WatchungLake,12/1/2013 7:04,2:24:39,13.17,710,10:59,6:31,149,163,"1,545",10.98,"21,552.85",0.0717,107,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,11/28/2013 7:20,0:30:02,3.11,13,9:40,6:48,153,173,354,9.66,"4,595.10",0.077,118,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4.5mi Speed-Endurance,Street Running,4.5mi Sherman / Pemberton / Kenyon / Spring Lake / Palmer,11/26/2013 6:08,0:46:28,4.48,25,10:22,6:37,152,174,540,10.37,"7,062.93",0.0765,116,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Easy (was supposed to be Magic Mile),Street Running,3mi Magic Mile,11/24/2013 6:47,0:35:00,3,8,11:46,8:18,146,160,360,11.67,"5,110.00",0.0705,103,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,11/22/2013 6:05,0:30:03,3.1,11,9:43,6:24,155,177,362,9.69,"4,657.75",0.0777,120,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy Jog with the office team (timer not stopped),Running,Piscataway Green Acres Path,11/20/2013 17:51,0:40:00,3.5,39,11:32,3:06,135,149,402,11.43,"5,400.00",0.0744,101,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,12 mi Long,Street Running,12mi Sleepy Hollow and back,11/17/2013 6:34,2:06:48,12.15,206,10:26,7:06,152,162,"1,437",10.44,"19,273.60",0.0746,113,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,11/15/2013 6:15,0:30:01,3.11,15,9:40,6:28,154,174,354,9.65,"4,622.57",0.0766,118,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5mi Easy,Street Running,5.67m 8th//Kenyon/Randolph/Plainfileld/Clinton,11/13/2013 6:04,0:50:13,5.18,26,9:41,7:31,155,172,600,9.69,"7,783.58",0.0771,119,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,11/10/2013 7:01,0:31:56,3.08,16,10:22,6:48,145,164,346,10.37,"4,630.33",0.0747,108,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4.2mi Easy,Street Running,"4.27 mi - Tompkins, Rahway, Spring Lake Park, Franklin",11/8/2013 6:07,0:41:59,4.15,19,10:06,6:16,152,171,493,10.12,"6,381.47",0.0773,117,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Jog with the team,Running,Piscataway Green Acres Path,11/6/2013 17:44,0:42:28,3.42,15,12:25,8:58,136,149,425,12.42,"5,775.47",0.0736,100,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,10mi Long Run,Street Running,10mi Tompkins/SpringLake/Woodland/SleepyHollow/Randolph,11/5/2013 8:32,1:42:05,10.01,195,10:12,7:09,158,170,"1,236",10.2,"16,129.17",0.0766,121,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Race Somerset (partially recorded),Street Running,--,11/2/2013 10:02,0:28:23,3.1,38,9:05,7:30,169,174,374,9.16,"4,796.78",0.078,132,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4.5mi Cadence Drill,Street Running,4.5mi Sherman / Pemberton / Kenyon / Spring Lake / Palmer,10/29/2013 6:06,0:45:09,4.51,21,10:01,6:38,155,169,545,10.01,"6,998.25",0.0779,121,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Trial .95/.05,Street Running,4.5mi Sherman / Pemberton / Kenyon / Spring Lake / Palmer,10/27/2013 6:43,0:42:37,4.17,22,10:14,6:47,157,199,490,10.22,"6,690.82",0.0732,115,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Cadence Drill,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,10/25/2013 6:07,0:31:35,3.1,11,10:11,7:37,163,192,339,10.19,"5,148.08",0.0658,107,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Jog with the team,Running,Piscataway Green Acres Path,10/23/2013 17:50,0:42:58,3.39,29,12:41,5:05,139,171,387,12.67,"5,972.37",0.0648,90,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5k Recovery/cadence drill,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,10/22/2013 6:24,0:33:13,3.08,15,10:46,6:22,151,193,227,10.78,"5,015.72",0.0453,68,New Balance,--,--,#VALUE!,#VALUE!
FALSE,Magic Mile,Street Running,--,10/13/2013 6:29,0:47:03,4.46,18,10:33,1:51,148,181,472,10.55,"6,963.40",0.0678,100,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,10/11/2013 6:02,0:32:06,3.13,14,10:16,5:05,151,164,379,10.26,"4,847.10",0.0782,118,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k+ Easy Jog with the team,Trail Running,--,10/9/2013 18:00,0:49:53,3.66,107,13:38,8:05,138,161,426,13.63,"6,883.90",0.0619,85,New Balance,--,--,#VALUE!,#VALUE!
FALSE,10k+ Long(er),Street Running,6.1m 8th/Kenyon/SpringLake/Clinton,10/9/2013 6:09,1:05:09,6.6,27,9:52,7:02,157,165,799,9.87,"10,228.55",0.0781,123,New Balance,--,--,#VALUE!,#VALUE!
FALSE,4.9mi Easy,Street Running,4.5mi Sherman / Pemberton / Kenyon / Spring Lake / Palmer,10/7/2013 6:01,0:50:23,4.91,23,10:16,4:05,155,189,592,10.26,"7,809.42",0.0758,117,New Balance,--,--,#VALUE!,#VALUE!
FALSE,"5k Race - Plainfield, NJ",Street Running,--,10/5/2013 10:25,0:28:31,3.1,29,9:13,5:29,169,194,374,9.2,"4,819.32",0.0776,131,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k+ Easy Jog with the team,Trail Running,--,10/2/2013 18:01,0:47:55,3.73,77,12:51,7:22,141,171,465,12.85,"6,756.25",0.0688,97,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Hill Workout,Street Running,--,10/1/2013 6:07,0:33:37,2.95,12,11:24,5:11,151,194,352,11.4,"5,076.12",0.0693,105,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Jog,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,9/30/2013 6:08,0:33:17,3.05,16,10:54,8:32,148,159,375,10.91,"4,925.93",0.0761,113,New Balance,--,--,#VALUE!,#VALUE!
TRUE,"5k Race - Dunellen, NJ - PR",Street Running,--,9/28/2013 10:06,0:28:13,3.1,0,9:05,4:12,165,178,358,9.1,"4,655.75",0.0769,127,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k+ Very Easy with the team,Street Running,5k Trial Siemens,9/25/2013 17:45,0:40:00,3.4,--,11:46,--,--,--,--,11.76,#VALUE!,#VALUE!,#VALUE!,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,9/25/2013 6:10,0:29:49,3.1,15,9:41,6:00,160,177,352,9.62,"4,770.67",0.0738,118,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy (watch not stopped),Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,9/23/2013 6:01,0:30:11,3.09,11,9:50,5:12,151,171,366,9.77,"4,557.68",0.0803,121,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Maintenance,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,9/20/2013 7:03,0:31:09,3.09,10,10:04,6:16,153,167,373,10.08,"4,765.95",0.0783,120,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Endurance/Speed,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,9/18/2013 6:00,0:34:15,3.16,15,10:51,6:04,152,174,357,10.84,"5,206.00",0.0686,104,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Endurance/Speed,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,9/17/2013 6:01,0:35:00,3.1,16,11:17,5:37,150,176,384,11.29,"5,250.00",0.0731,110,New Balance,--,--,#VALUE!,#VALUE!
TRUE,8mi Long,Street Running,8mi Tompkins/8th/Kenyon/Cedarbrook/SpringLake/Clinton,9/15/2013 6:04,1:26:57,8.08,55,10:45,8:41,151,164,1007,10.76,"13,129.45",0.0767,116,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Maintenance,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,9/13/2013 5:58,0:35:32,3.1,10,11:29,9:17,146,156,400,11.46,"5,187.87",0.0771,113,New Balance,--,--,#VALUE!,#VALUE!
FALSE,4.5 mi Easy Daily,Street Running,--,9/12/2013 6:31,0:48:04,4.53,13,10:32,8:18,159,175,608,10.61,"7,642.60",0.0796,126,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,9/9/2013 6:01,0:30:21,3.07,15,9:50,7:18,157,173,353,9.89,"4,764.95",0.0741,116,New Balance,--,--,#VALUE!,#VALUE!
FALSE,4.3 mi Easy Daily,Street Running,"4.27 mi - Tompkins, Rahway, Spring Lake Park, Franklin",8/21/2013 6:03,0:43:48,4.32,21,10:10,5:06,157,173,546,10.14,"6,876.60",0.0794,125,New Balance,--,--,#VALUE!,#VALUE!
FALSE,4.3 mi Easy Daily,Street Running,"4.27 mi - Tompkins, Rahway, Spring Lake Park, Franklin",8/19/2013 5:59,0:43:44,4.32,312,10:10,7:48,153,172,522,10.12,"6,691.20",0.078,119,New Balance,--,--,#VALUE!,#VALUE!
TRUE,6 mi Long(er) run,Street Running,6.1m 8th/Kenyon/SpringLake/Clinton,8/18/2013 6:44,1:03:48,6.14,438,10:21,4:54,153,167,760,10.39,"9,761.40",0.0779,119,New Balance,--,--,#VALUE!,#VALUE!
FALSE,Evening walk,Casual Walking,--,8/15/2013 19:52,1:16:45,3.7,350,20:44,1:26,--,--,441,20.74,#VALUE!,#VALUE!,57,New Balance,--,--,#VALUE!,#VALUE!
FALSE,4.2 mi Easy Daily,Street Running,"4.27 mi - Tompkins, Rahway, Spring Lake Park, Franklin",8/15/2013 6:00,0:42:44,4.15,238,10:21,7:18,153,157,638,10.3,"6,538.20",0.0976,149,New Balance,--,--,#VALUE!,#VALUE!
FALSE,4.2mi Easy Daily,Street Running,"4.27 mi - Tompkins, Rahway, Spring Lake Park, Franklin",8/13/2013 6:04,0:45:24,4.17,139,10:55,8:00,151,163,566,10.89,"6,855.40",0.0826,125,New Balance,--,--,#VALUE!,#VALUE!
TRUE,"5k Race - Asbury Park, NJ",Street Running,5k Abury Park,8/10/2013 8:37,0:31:00,3.08,41,10:00,7:36,165,180,412,10.06,"5,115.00",0.0805,133,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,8/7/2013 6:15,0:30:55,3.1,274,10:00,6:00,160,175,417,9.97,"4,946.67",0.0843,135,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Daily Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,8/5/2013 6:16,0:30:53,3.11,114,10:00,6:30,155,167,402,9.93,"4,786.92",0.084,130,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,8/2/2013 6:20,0:31:29,3.08,142,10:10,6:18,156,169,409,10.22,"4,911.40",0.0833,130,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/31/2013 6:14,0:31:46,3.09,337,10:21,6:18,156,172,412,10.28,"4,955.60",0.0831,130,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/29/2013 6:17,0:32:11,3.03,169,10:32,6:12,151,165,402,10.62,"4,859.68",0.0827,125,New Balance,--,--,#VALUE!,#VALUE!
FALSE,6m Long Run,Street Running,6.1m 8th/Kenyon/SpringLake/Clinton,7/27/2013 6:38,1:08:51,6.07,404,11:19,8:06,153,162,871,11.34,"10,534.05",0.0827,127,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily (partly recorded),Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/24/2013 6:17,0:28:25,2.77,140,10:21,7:30,153,163,362,10.26,"4,347.75",0.0833,127,New Balance,--,--,#VALUE!,#VALUE!
FALSE,4.2m Long(er) run,Street Running,"4.27 mi - Tompkins, Rahway, Spring Lake Park, Franklin",7/22/2013 6:16,0:47:51,4.16,221,11:32,8:48,147,157,577,11.5,"7,033.95",0.082,121,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/19/2013 6:15,0:32:17,3.04,352,10:43,7:30,158,170,424,10.62,"5,100.77",0.0831,131,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/17/2013 6:15,0:30:32,3.01,167,10:10,7:36,159,170,406,10.14,"4,854.80",0.0836,133,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/15/2013 6:12,0:31:26,3.01,367,10:32,7:06,150,165,391,10.44,"4,715.00",0.0829,124,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/12/2013 6:13,0:32:04,3.05,273,10:32,7:36,153,169,468,10.51,"4,906.20",0.0954,146,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/10/2013 6:13,0:31:28,3.01,170,10:32,7:30,161,177,498,10.45,"5,066.13",0.0983,158,New Balance,--,--,#VALUE!,#VALUE!
FALSE,5k Easy Daily,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/8/2013 6:09,0:32:06,2.99,322,10:43,7:30,157,168,485,10.74,"5,039.70",0.0962,151,New Balance,--,--,#VALUE!,#VALUE!
FALSE,First walk around the block!,Casual Walking,--,7/7/2013 19:48,0:14:48,0.89,0,16:40,6:48,104,111,108,16.63,"1,539.20",0.0702,73,New Balance,--,--,#VALUE!,#VALUE!
FALSE,3.1mi easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/5/2013 6:15,0:33:32,3.1,--,10:55,--,--,--,--,10.82,#VALUE!,#VALUE!,#VALUE!,New Balance,--,--,#VALUE!,#VALUE!
FALSE,3.1 mi easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,7/3/2013 6:15,0:31:40,3.1,--,10:10,--,--,--,--,10.22,#VALUE!,#VALUE!,#VALUE!,New Balance,--,--,#VALUE!,#VALUE!
FALSE,2.4mi easy,Street Running,2.4 Loop Sherman/Plainfield/Tompkins,7/1/2013 6:15,0:24:10,2.4,--,10:00,--,--,--,--,10.07,#VALUE!,#VALUE!,#VALUE!,New Balance,--,--,#VALUE!,#VALUE!
FALSE,2.4 mi easy,Street Running,2.4 Loop Sherman/Plainfield/Tompkins,6/28/2013 6:15,0:24:20,2.4,--,10:10,--,--,--,--,10.14,#VALUE!,#VALUE!,#VALUE!,New Balance,--,--,#VALUE!,#VALUE!
FALSE,2.4mi easy,Street Running,2.4 Loop Sherman/Plainfield/Tompkins,6/26/2013 6:15,0:24:40,2.4,--,10:21,--,--,--,--,10.28,#VALUE!,#VALUE!,#VALUE!,New Balance,--,--,#VALUE!,#VALUE!
FALSE,2.4mi easy,Street Running,2.4 Loop Sherman/Plainfield/Tompkins,6/24/2013 6:15,0:27:00,2.4,--,11:19,--,--,--,--,11.25,#VALUE!,#VALUE!,#VALUE!,New Balance,--,--,#VALUE!,#VALUE!
FALSE,2.4mi easy,Street Running,2.4 Loop Sherman/Plainfield/Tompkins,6/22/2013 20:00,0:30:00,2.4,--,12:30,--,--,--,--,12.5,#VALUE!,#VALUE!,#VALUE!,New Balance,--,--,#VALUE!,#VALUE!
TRUE,2.4mi easy,Street Running,2.4 Loop Sherman/Plainfield/Tompkins,6/20/2013 6:15,0:35:00,2.4,--,14:38,--,--,--,--,14.58,#VALUE!,#VALUE!,#VALUE!,New Balance,--,--,#VALUE!,#VALUE!
